quiz_score,learning_progress,quiz_attempts,performance
96,58,9,Intermediate
41,42,5,Beginner
74,78,18,Intermediate
36,50,18,Beginner
42,82,13,Beginner
89,68,16,Intermediate
54,19,9,Beginner
81,68,7,Intermediate
57,39,13,Beginner
27,23,5,Beginner
25,48,12,Beginner
88,88,7,Advanced
75,78,20,Advanced
56,92,14,Intermediate
56,74,1,Intermediate
75,29,5,Beginner
69,25,5,Beginner
56,82,3,Intermediate
75,89,14,Advanced
98,89,15,Advanced
25,49,4,Beginner
77,49,12,Intermediate
48,78,7,Beginner
34,57,5,Beginner
67,68,11,Intermediate
28,63,2,Beginner
62,40,8,Intermediate
63,37,2,Beginner
57,42,16,Intermediate
81,48,19,Intermediate
26,14,19,Beginner
78,73,20,Advanced
52,14,16,Beginner
31,54,10,Beginner
49,50,11,Beginner
86,100,18,Advanced
21,53,12,Beginner
100,85,9,Advanced
35,28,4,Beginner
76,66,10,Intermediate
36,79,3,Beginner
65,94,4,Intermediate
74,69,14,Intermediate
59,94,16,Intermediate
57,24,5,Beginner
73,36,8,Beginner
43,16,16,Beginner
82,22,1,Beginner
87,95,6,Advanced
43,91,3,Beginner
94,37,7,Beginner
25,46,11,Beginner
34,17,2,Beginner
61,39,8,Beginner
79,49,5,Intermediate
83,37,5,Beginner
84,80,6,Advanced
39,68,17,Beginner
83,96,16,Advanced
57,46,13,Intermediate
29,84,15,Beginner
25,56,19,Beginner
51,81,5,Intermediate
64,33,19,Beginner
54,10,17,Beginner
99,36,7,Beginner
51,17,9,Beginner
60,34,7,Beginner
77,74,17,Advanced
35,19,17,Beginner
46,50,11,Beginner
28,62,19,Beginner
56,80,19,Intermediate
42,90,1,Beginner
63,16,17,Beginner
96,70,15,Advanced
90,52,12,Intermediate
48,59,17,Beginner
45,50,7,Beginner
52,30,2,Beginner
51,73,8,Intermediate
83,11,19,Beginner
62,49,2,Intermediate
76,39,6,Beginner
62,15,8,Beginner
25,31,5,Beginner
84,89,15,Advanced
84,65,20,Intermediate
54,81,1,Intermediate
25,23,20,Beginner
28,18,20,Beginner
63,78,12,Intermediate
45,71,10,Beginner
46,52,19,Beginner
46,58,16,Beginner
85,65,17,Intermediate
92,38,15,Beginner
95,89,19,Advanced
82,82,3,Advanced
32,26,20,Beginner
50,58,5,Intermediate
20,54,18,Beginner
47,41,7,Beginner
20,82,12,Beginner
81,84,10,Advanced
88,23,13,Beginner
61,13,11,Beginner
29,14,7,Beginner
49,57,10,Beginner
28,64,18,Beginner
72,42,8,Intermediate
65,51,17,Intermediate
83,58,2,Intermediate
42,19,4,Beginner
47,34,15,Beginner
82,33,8,Beginner
91,68,3,Intermediate
30,90,2,Beginner
36,26,12,Beginner
74,94,20,Intermediate
76,41,3,Intermediate
24,83,10,Beginner
89,93,3,Advanced
63,14,5,Beginner
89,100,17,Advanced
33,26,10,Beginner
41,14,19,Beginner
62,48,5,Intermediate
43,46,17,Beginner
70,60,5,Intermediate
75,86,14,Advanced
21,62,16,Beginner
63,90,14,Intermediate
33,68,9,Beginner
56,50,14,Intermediate
25,67,14,Beginner
53,33,13,Beginner
85,20,17,Beginner
25,73,1,Beginner
38,84,9,Beginner
56,15,8,Beginner
82,87,9,Advanced
46,45,15,Beginner
63,43,6,Intermediate
85,72,18,Advanced
67,39,5,Beginner
89,88,20,Advanced
32,99,8,Beginner
43,51,11,Beginner
51,21,8,Beginner
38,21,2,Beginner
98,49,12,Intermediate
51,14,18,Beginner
96,79,10,Advanced
45,64,6,Beginner
51,96,6,Intermediate
83,52,9,Intermediate
38,43,19,Beginner
44,89,8,Beginner
43,67,4,Beginner
37,73,5,Beginner
62,47,9,Intermediate
96,95,8,Advanced
99,35,16,Beginner
81,64,3,Intermediate
95,29,10,Beginner
74,75,14,Intermediate
82,13,19,Beginner
81,51,12,Intermediate
35,90,4,Beginner
84,90,2,Advanced
51,88,15,Intermediate
74,48,14,Intermediate
49,91,15,Beginner
84,41,10,Intermediate
36,11,2,Beginner
54,27,6,Beginner
31,13,14,Beginner
69,32,4,Beginner
99,52,19,Intermediate
35,71,19,Beginner
93,63,16,Intermediate
26,65,9,Beginner
27,95,4,Beginner
42,15,15,Beginner
82,27,9,Beginner
72,89,4,Intermediate
74,49,19,Intermediate
82,39,2,Beginner
99,31,6,Beginner
50,99,19,Intermediate
94,99,7,Advanced
63,12,10,Beginner
40,58,2,Beginner
56,92,18,Intermediate
76,52,10,Intermediate
59,92,6,Intermediate
71,40,3,Intermediate
69,12,1,Beginner
37,42,12,Beginner
68,41,17,Intermediate
37,80,13,Beginner
67,27,16,Beginner
49,41,10,Beginner
27,10,11,Beginner
99,84,1,Advanced
61,73,12,Intermediate
63,30,14,Beginner
24,43,15,Beginner
41,14,1,Beginner
83,17,6,Beginner
93,72,17,Advanced
60,35,2,Beginner
67,73,12,Intermediate
78,100,16,Advanced
37,63,1,Beginner
46,77,9,Beginner
81,93,5,Advanced
38,84,19,Beginner
88,33,12,Beginner
96,11,5,Beginner
40,59,19,Beginner
38,15,8,Beginner
94,76,9,Advanced
36,15,15,Beginner
54,50,19,Intermediate
98,13,19,Beginner
89,55,10,Intermediate
32,73,16,Beginner
60,75,1,Intermediate
64,71,19,Intermediate
48,78,20,Beginner
22,61,19,Beginner
49,85,12,Beginner
33,88,17,Beginner
34,42,9,Beginner
71,19,11,Beginner
67,32,8,Beginner
81,32,4,Beginner
40,21,9,Beginner
36,76,6,Beginner
26,14,19,Beginner
74,28,5,Beginner
83,31,9,Beginner
57,64,20,Intermediate
24,57,8,Beginner
51,16,8,Beginner
46,83,14,Beginner
80,18,7,Beginner
92,11,12,Beginner
98,73,20,Advanced
34,55,17,Beginner
24,41,8,Beginner
56,34,2,Beginner
98,17,11,Beginner
39,98,4,Beginner
73,37,2,Beginner
54,66,14,Intermediate
72,70,2,Intermediate
52,71,3,Intermediate
27,67,5,Beginner
48,52,10,Beginner
67,83,15,Intermediate
73,21,2,Beginner
53,53,20,Intermediate
58,44,20,Intermediate
32,92,2,Beginner
55,73,4,Intermediate
34,40,13,Beginner
66,44,11,Intermediate
22,10,10,Beginner
94,45,3,Intermediate
26,95,2,Beginner
39,21,17,Beginner
74,16,14,Beginner
77,79,19,Advanced
95,70,4,Advanced
67,81,9,Intermediate
37,22,16,Beginner
52,44,10,Intermediate
65,35,7,Beginner
78,72,13,Advanced
70,15,13,Beginner
33,57,12,Beginner
42,32,10,Beginner
81,55,8,Intermediate
40,47,13,Beginner
64,76,18,Intermediate
38,45,1,Beginner
69,47,5,Intermediate
56,19,7,Beginner
69,76,17,Intermediate
85,99,18,Advanced
60,37,7,Beginner
80,18,15,Beginner
42,42,18,Beginner
63,77,9,Intermediate
73,100,20,Intermediate
41,12,11,Beginner
26,42,1,Beginner
71,38,16,Beginner
35,82,2,Beginner
92,39,14,Beginner
82,51,10,Intermediate
69,44,1,Intermediate
88,90,4,Advanced
48,54,7,Beginner
53,82,14,Intermediate
98,73,3,Advanced
54,50,5,Intermediate
66,44,5,Intermediate
85,84,12,Advanced
81,98,16,Advanced
82,47,10,Intermediate
62,21,11,Beginner
34,91,1,Beginner
84,74,18,Advanced
46,92,11,Beginner
20,65,19,Beginner
25,72,16,Beginner
89,27,4,Beginner
93,59,2,Intermediate
41,45,12,Beginner
40,73,17,Beginner
31,93,15,Beginner
31,59,3,Beginner
94,83,3,Advanced
39,25,9,Beginner
78,77,13,Advanced
54,12,18,Beginner
38,94,3,Beginner
73,90,5,Intermediate
22,14,14,Beginner
87,64,7,Intermediate
96,44,16,Intermediate
97,85,11,Advanced
51,76,17,Intermediate
94,74,18,Advanced
78,26,12,Beginner
30,95,2,Beginner
33,63,9,Beginner
84,24,8,Beginner
74,36,11,Beginner
54,65,1,Intermediate
88,81,20,Advanced
71,18,18,Beginner
33,15,15,Beginner
73,63,6,Intermediate
87,46,6,Intermediate
44,69,12,Beginner
41,28,1,Beginner
68,82,14,Intermediate
49,40,4,Beginner
65,61,15,Intermediate
93,22,3,Beginner
28,50,13,Beginner
36,100,19,Beginner
23,66,13,Beginner
92,94,10,Advanced
30,52,10,Beginner
50,95,2,Intermediate
28,58,6,Beginner
43,14,16,Beginner
98,10,10,Beginner
53,40,4,Intermediate
84,52,19,Intermediate
71,38,14,Beginner
41,28,16,Beginner
57,82,14,Intermediate
33,71,7,Beginner
63,80,6,Intermediate
65,61,3,Intermediate
41,38,8,Beginner
44,36,16,Beginner
22,44,20,Beginner
23,62,3,Beginner
48,87,13,Beginner
29,100,12,Beginner
57,63,2,Intermediate
78,51,14,Intermediate
23,82,18,Beginner
31,35,17,Beginner
46,27,13,Beginner
31,21,19,Beginner
93,25,6,Beginner
70,25,2,Beginner
48,31,11,Beginner
59,43,18,Intermediate
61,83,17,Intermediate
78,78,11,Advanced
100,30,6,Beginner
34,74,2,Beginner
88,22,18,Beginner
27,45,3,Beginner
49,54,18,Beginner
90,62,1,Intermediate
48,95,19,Beginner
53,96,8,Intermediate
76,74,2,Advanced
96,88,6,Advanced
92,62,12,Intermediate
42,92,3,Beginner
63,55,8,Intermediate
94,46,2,Intermediate
67,23,14,Beginner
36,36,9,Beginner
64,16,17,Beginner
22,83,10,Beginner
98,73,11,Advanced
86,16,8,Beginner
35,92,13,Beginner
23,33,9,Beginner
36,18,20,Beginner
45,73,7,Beginner
97,61,18,Intermediate
76,67,10,Intermediate
92,46,5,Intermediate
42,39,20,Beginner
87,23,6,Beginner
26,46,20,Beginner
61,84,10,Intermediate
52,43,3,Intermediate
78,90,15,Advanced
71,44,10,Intermediate
39,38,7,Beginner
53,77,16,Intermediate
35,63,9,Beginner
70,95,20,Intermediate
46,15,1,Beginner
66,54,13,Intermediate
100,68,2,Intermediate
90,83,8,Advanced
24,39,14,Beginner
55,86,8,Intermediate
48,77,10,Beginner
99,83,12,Advanced
42,80,3,Beginner
47,46,18,Beginner
55,65,8,Intermediate
66,87,16,Intermediate
76,79,7,Advanced
35,22,11,Beginner
95,91,1,Advanced
76,17,6,Beginner
51,47,1,Intermediate
43,81,20,Beginner
90,45,1,Intermediate
24,61,9,Beginner
67,24,11,Beginner
25,73,13,Beginner
97,19,3,Beginner
58,31,8,Beginner
52,35,13,Beginner
90,76,14,Advanced
52,74,6,Intermediate
22,29,7,Beginner
63,32,5,Beginner
67,80,15,Intermediate
62,64,11,Intermediate
57,13,16,Beginner
78,10,18,Beginner
49,18,18,Beginner
20,21,5,Beginner
34,15,12,Beginner
80,70,13,Advanced
71,27,11,Beginner
85,21,8,Beginner
26,73,20,Beginner
23,73,8,Beginner
97,84,7,Advanced
40,48,15,Beginner
35,70,11,Beginner
54,47,7,Intermediate
100,100,16,Advanced
88,15,4,Beginner
50,32,11,Beginner
83,78,2,Advanced
94,87,10,Advanced
29,76,15,Beginner
30,22,8,Beginner
47,30,6,Beginner
82,67,11,Intermediate
38,77,4,Beginner
76,16,14,Beginner
80,27,1,Beginner
25,79,13,Beginner
22,60,2,Beginner
80,66,4,Intermediate
38,86,2,Beginner
35,16,9,Beginner
23,71,14,Beginner
31,28,20,Beginner
94,76,10,Advanced
87,40,8,Intermediate
31,32,3,Beginner
59,58,15,Intermediate
59,19,18,Beginner
91,97,20,Advanced
90,17,12,Beginner
84,18,3,Beginner
83,51,9,Intermediate
52,56,3,Intermediate
55,57,15,Intermediate
55,20,5,Beginner
52,54,2,Intermediate
56,30,14,Beginner
86,50,9,Intermediate
43,74,19,Beginner
24,31,9,Beginner
31,28,5,Beginner
33,51,1,Beginner
76,47,1,Intermediate
41,83,19,Beginner
91,39,12,Beginner
81,77,4,Advanced
59,17,9,Beginner
87,52,20,Intermediate
76,43,15,Intermediate
46,12,7,Beginner
52,90,18,Intermediate
78,16,9,Beginner
72,69,3,Intermediate
96,24,3,Beginner
45,67,13,Beginner
78,90,7,Advanced
93,42,2,Intermediate
45,78,20,Beginner
76,69,10,Intermediate
31,52,8,Beginner
25,18,8,Beginner
44,32,6,Beginner
38,84,16,Beginner
72,30,12,Beginner
41,11,6,Beginner
98,73,13,Advanced
75,70,19,Advanced
61,43,18,Intermediate
98,69,12,Intermediate
30,32,7,Beginner
39,68,13,Beginner
51,19,15,Beginner
20,16,17,Beginner
74,99,19,Intermediate
28,64,20,Beginner
89,38,5,Beginner
58,98,18,Intermediate
75,97,20,Advanced
68,27,13,Beginner
59,40,1,Intermediate
78,76,6,Advanced
40,54,20,Beginner
56,78,7,Intermediate
33,77,15,Beginner
99,32,10,Beginner
38,75,11,Beginner
24,29,16,Beginner
50,86,15,Intermediate
49,23,13,Beginner
20,22,1,Beginner
76,33,12,Beginner
75,44,2,Intermediate
86,11,9,Beginner
33,62,17,Beginner
86,69,14,Intermediate
27,42,12,Beginner
63,37,19,Beginner
29,85,13,Beginner
55,93,19,Intermediate
51,97,5,Intermediate
56,81,15,Intermediate
21,96,20,Beginner
75,99,18,Advanced
76,18,19,Beginner
45,16,1,Beginner
20,94,9,Beginner
82,27,16,Beginner
48,69,16,Beginner
54,64,4,Intermediate
86,87,4,Advanced
36,72,8,Beginner
62,40,7,Intermediate
59,52,1,Intermediate
73,41,12,Intermediate
43,14,5,Beginner
30,100,14,Beginner
62,79,5,Intermediate
48,24,8,Beginner
97,100,4,Advanced
52,38,2,Beginner
97,13,10,Beginner
26,85,5,Beginner
80,32,16,Beginner
61,79,7,Intermediate
20,18,7,Beginner
97,50,19,Intermediate
72,50,2,Intermediate
68,84,13,Intermediate
55,85,11,Intermediate
86,37,17,Beginner
84,59,13,Intermediate
80,38,20,Beginner
29,71,6,Beginner
35,56,13,Beginner
47,90,17,Beginner
23,37,14,Beginner
86,79,3,Advanced
36,63,2,Beginner
83,86,6,Advanced
52,16,19,Beginner
46,87,1,Beginner
73,85,11,Intermediate
31,56,10,Beginner
49,53,12,Beginner
54,62,9,Intermediate
23,99,11,Beginner
46,69,19,Beginner
49,45,8,Beginner
30,46,3,Beginner
80,93,3,Advanced
29,55,6,Beginner
26,70,19,Beginner
46,21,18,Beginner
71,100,11,Intermediate
98,55,3,Intermediate
57,70,6,Intermediate
99,12,16,Beginner
66,64,13,Intermediate
89,14,12,Beginner
88,94,8,Advanced
54,29,15,Beginner
96,76,15,Advanced
88,23,14,Beginner
50,58,1,Intermediate
88,55,8,Intermediate
64,100,5,Intermediate
58,52,11,Intermediate
79,77,10,Advanced
85,13,14,Beginner
27,82,9,Beginner
48,89,12,Beginner
71,100,9,Intermediate
51,42,11,Intermediate
54,69,17,Intermediate
97,71,10,Advanced
87,53,12,Intermediate
91,96,13,Advanced
30,93,2,Beginner
60,35,13,Beginner
88,36,13,Beginner
32,80,10,Beginner
86,77,16,Advanced
39,72,11,Beginner
62,39,7,Beginner
44,14,14,Beginner
61,72,19,Intermediate
28,60,17,Beginner
66,44,7,Intermediate
38,95,8,Beginner
61,80,12,Intermediate
39,52,4,Beginner
34,86,4,Beginner
85,100,4,Advanced
81,97,13,Advanced
67,88,15,Intermediate
21,27,11,Beginner
53,39,13,Beginner
64,95,1,Intermediate
77,57,14,Intermediate
31,36,8,Beginner
43,14,6,Beginner
75,84,4,Advanced
77,26,9,Beginner
35,97,12,Beginner
94,99,12,Advanced
91,45,1,Intermediate
92,76,9,Advanced
46,81,17,Beginner
52,65,18,Intermediate
84,59,1,Intermediate
69,61,19,Intermediate
80,16,10,Beginner
27,78,5,Beginner
41,50,9,Beginner
29,18,1,Beginner
61,82,11,Intermediate
30,10,11,Beginner
77,38,4,Beginner
67,65,8,Intermediate
22,76,12,Beginner
53,50,4,Intermediate
29,31,4,Beginner
74,27,18,Beginner
98,60,17,Intermediate
85,40,18,Intermediate
72,68,3,Intermediate
77,43,16,Intermediate
88,60,12,Intermediate
99,84,17,Advanced
66,50,13,Intermediate
47,84,9,Beginner
100,47,7,Intermediate
68,14,2,Beginner
52,34,12,Beginner
29,96,11,Beginner
82,57,12,Intermediate
70,52,16,Intermediate
26,65,18,Beginner
84,43,13,Intermediate
51,50,1,Intermediate
42,50,16,Beginner
50,33,1,Beginner
50,59,17,Intermediate
70,41,6,Intermediate
57,35,15,Beginner
68,53,9,Intermediate
80,67,10,Intermediate
84,76,14,Advanced
20,63,7,Beginner
41,89,11,Beginner
58,25,6,Beginner
39,51,8,Beginner
77,68,14,Intermediate
90,16,17,Beginner
35,76,17,Beginner
35,15,5,Beginner
93,94,5,Advanced
93,60,3,Intermediate
37,74,7,Beginner
99,43,10,Intermediate
48,57,15,Beginner
98,98,12,Advanced
64,45,2,Intermediate
64,22,11,Beginner
31,55,17,Beginner
23,93,19,Beginner
64,84,4,Intermediate
36,94,3,Beginner
88,71,18,Advanced
62,44,11,Intermediate
47,35,3,Beginner
49,43,3,Beginner
85,28,8,Beginner
93,67,17,Intermediate
68,19,16,Beginner
65,54,6,Intermediate
87,21,20,Beginner
39,41,16,Beginner
26,61,2,Beginner
82,24,16,Beginner
94,48,7,Intermediate
85,30,20,Beginner
35,91,4,Beginner
62,32,9,Beginner
35,31,15,Beginner
97,96,10,Advanced
25,100,19,Beginner
30,31,5,Beginner
67,15,15,Beginner
35,41,2,Beginner
70,77,4,Intermediate
35,84,14,Beginner
99,33,17,Beginner
46,78,12,Beginner
69,37,2,Beginner
84,83,11,Advanced
83,48,16,Intermediate
52,80,19,Intermediate
90,75,7,Advanced
68,21,11,Beginner
58,49,16,Intermediate
87,88,6,Advanced
100,41,3,Intermediate
31,38,8,Beginner
56,33,11,Beginner
76,45,6,Intermediate
